                           h                    analytic                     3 point                     5 point
      0.1000000000000000E-01     -0.2650888526745648E+01     -0.2650859500350489E+01     -0.2650888526272155E+01
      0.1250000000000000E-01     -0.2650888526745648E+01     -0.2650843173104533E+01     -0.2650888525577836E+01
      0.1562500000000000E-01     -0.2650888526745648E+01     -0.2650817661937253E+01     -0.2650888523888776E+01
      0.1953125000000000E-01     -0.2650888526745648E+01     -0.2650777801109943E+01     -0.2650888519768778E+01
      0.2441406250000000E-01     -0.2650888526745648E+01     -0.2650715519472584E+01     -0.2650888509711251E+01
      0.3051757812500000E-01     -0.2650888526745648E+01     -0.2650618206625223E+01     -0.2650888485160510E+01
      0.3814697265625000E-01     -0.2650888526745648E+01     -0.2650466160695343E+01     -0.2650888425224418E+01
      0.4768371582031250E-01     -0.2650888526745648E+01     -0.2650228602100391E+01     -0.2650888278911426E+01
      0.5960464477539062E-01     -0.2650888526745648E+01     -0.2649857448949625E+01     -0.2650887921763984E+01
      0.7450580596923828E-01     -0.2650888526745648E+01     -0.2649277600644440E+01     -0.2650887050053797E+01
      0.9313225746154785E-01     -0.2650888526745648E+01     -0.2648371779274445E+01     -0.2650884922739605E+01
      0.1164153218269348E+00     -0.2650888526745648E+01     -0.2646956901074453E+01     -0.2650879732473647E+01
      0.1455191522836685E+00     -0.2650888526745648E+01     -0.2644747295329689E+01     -0.2650867073779643E+01
      0.1818989403545856E+00     -0.2650888526745648E+01     -0.2641297571629805E+01     -0.2650836217739824E+01
      0.2273736754432321E+00     -0.2650888526745648E+01     -0.2635914172814842E+01     -0.2650761072086877E+01
